,Date,Company,Title,Location,Description,Level,Link
10,2 weeks ago ,NICE ,Cloud Developer, Israel,":1-2 years of experience as a DevOps engineer with AWS cloud - Must3+ years of experience as a Full Stack developer:Angular 10+NodeJSStrong understanding of DevOps tools such as Jenkins, Azure DevOps, Kubernetes, GitHub, GitHub ActionsAbility to design and lead the development of a ""one-stop-shop"" of a self-service, API-driven platform to provide the required services to the stakeholders around provisioning, security, FinOps, governance, and observability. Comprehensive knowledge of design metrics, analytics tools, benchmarking activities, and related reporting to identify best practices. Consistently demonstrates clear and concise written and verbal communication. Passionately enthusiastic about DevOps & cloud technologies. Ability to work independently, multi-task, and take ownership of various parts of a project or initiative. Advantages:Experience with software & cloud development tools:AWS (lambda, CloudFormation, CDK)Azure (Azure App, Azure functions)AWS certificationPostgres and DynamoDBAbout NICENICE Ltd. (NASDAQ: NICE) software products are used by 25,000+ global businesses, including 85 of the Fortune 100 corporations, to deliver extraordinary customer experiences, fight financial crime and ensure public safety. Every day, NICE software manages more than 120 million customer interactions and monitors 3+ billion financial transactions. Known as an innovation powerhouse that excels in AI, cloud and digital, NICE is consistently recognized as the market leader in its domains, with over 8,500 employees across 30+ countries. NICE is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, national origin, age, sex, marital status, ancestry, neurotype, physical or mental disability, veteran status, gender identity, sexual orientation or any other category protected by law.
Show more
Show less",Entry level,"=HYPERLINK(""https://tinyurl.com/2malz8cn"", ""https://tinyurl.com/2malz8cn"")"
11,1 month ago ,Pery ,Full Stack Engineer," Petah Tikva, Center District, Israel","ResponsibilitiesBe a fundamental member of Periapt’s engineering team, implementing new and exciting features, end-to-end, alongside the product team.Play an integral role in designing Periapt’s system architecture, from whiteboard sessions to actual implementation, and deliver end-to-end features.Translate product requirements into high-quality, maintainable, testable code.Own your code-write, test, and deploy your code into production. Have full e2e accountability over the features you create.Create internal and customer-facing applications that improve engagement and clinical outcomes.Help design and establish software development methods for the team.As our engineering team grows - mentor other engineers to help them improve their software technical skills and development methods.Tackle tough problems and find creative ways to solve them.What We Are Looking ForAt least 4 years of Proven real-world experience as a full stack developer with 2 of those years focused on Node.js OR Flutter development.Experience with developing and monitoring micro-service architecture.You welcome complex problems and work until you can find a workable solution.You work cross-functionally and hold yourself accountable.BSc in computer science - or equivalentNice To Have, But Certainly Not NecessaryAmazon Web Services experience: specifically VPC, EC2, EBS, S3, Redshift, and RDSExperience working for a consumer Internet company.
Show more
Show less",Entry level,"=HYPERLINK(""https://tinyurl.com/2keucoht"", ""https://tinyurl.com/2keucoht"")"
12,4 days ago ,HiredScore ,Full Stack Engineer," Tel Aviv-Yafo, Tel Aviv District, Israel","DescriptionHiredScore brings deeply integrated big data and AI solutions to the global Fortune 500. By leveraging data from companies' Human Resources Data ecosystem, HiredScore enables to automate and augments the hiring process, enriching recruiters' decisions with smart insights and candidate prioritization grades using NLP and Machine Learning algorithms.HiredScore's Artificial Intelligence Engine uses past company hiring data, global hiring data, and other data sources including labor market data, employee performance data, and CRM data, to revolutionize the end-to-end recruiting workflow as well as integrate seamlessly with other HR Systems such as chatbots, assessment tests, video interviews, and other automation tools. HiredScore's mission is to bring data science into the Human Resources domain.We are seeking a highly skilled and pragmatic Product Thinker and End-to-End Coder to join our dynamic and driven team. As a key member of our small but fierce team, you will be responsible for translating complex problems into effective solutions, utilizing your expertise in coding best practices to deliver exceptional results. If you are a proactive problem-solver with a passion for coding, we want to hear from you!Roles & ResponsibilitiesTake part in the development of HiredScore’s core products, including influencing the look and behavior of the product offerings.Design and implement unique solutions to complex problems, taking full ownership of feature sets from initial discussion through to delivery to clients.Develop scalable solutions while considering high performance and data integrity, ensuring a testable and responsive application with a focus on an enjoyable developer experience.Manage project planning, milestones, designs, and estimations, working collaboratively with team members to ensure the successful delivery of projects on time and within budget.Hold yourself and others to a high standard when working with production systems, maintaining a strong focus on testing, monitoring, and alerting to ensure system stability.Bring your personal experience and knowledge to an agile and diverse team, working collaboratively to contribute to the growth and adaptation of the team and the organization.What You Need4+ years of web development experience.Expert level of Python with at least 3+ years of experience.Proficient in React/ VueJS/ Angular 2+ or similar with at least 1+ year of experience.Strong experience working with databases (Postgres/ MongoDB/ Elastic search)Self-driven and can deliver solutions by partnering with both internal and external development teams without the need for a project manager.Knowledge in system architecture, design, and building for scale.An understanding of the complexities of building end-to-end processes.A passion for tech and solving complex problems.An ambitious team player with a strong ability to work both in a team and independently.Great communication skills with a “can-do” mindset.ADVANTAGESExperience in message brokerExperience in CeleryExperience in GraphQLDevOps skills
Show more
Show less",Entry level,"=HYPERLINK(""https://tinyurl.com/2os87528"", ""https://tinyurl.com/2os87528"")"
13,2 weeks ago ,ryze ,Fullstack PHP Developer," Tel Aviv District, Israel","Extensive experience in design and development of web applications.At least 3-5 years of experience.At least 2 years of working experience with PHPAt least 1 year of working experience with ReactExperience with Relational and NoSQL databasesExperience with Responsive UI (CSS/SASS)Experience with Linux environment and containers (docker)Experience with cloud- based server infrastructure AdvantagesExperience with SOA (service-oriented architecture), microservices and kubernetesDeep knowledge of NodeJS & ExpressExperience with WordpressExperience with Agile development, including CI/CDGood understanding of Agile / Scrum methodologies.
Show more
Show less",Entry level,"=HYPERLINK(""https://tinyurl.com/2pww5xmu"", ""https://tinyurl.com/2pww5xmu"")"
14,17 hours ago ,Microsoft ,Full Stack Software Engineer - Microsoft 365 Defender," Beer Sheva, South District, Israel","Would you like be part of an exciting and impactful product?Make our world a better and safer place and defend millions?Use cutting-edge technologies at huge scale?Microsoft 365 Defender is an innovative, industry leading integrated solution for the Microsoft 365 threat protection services that breaks down traditional security solutions silos to deliver detection and response across all data sources.Using AI and automation to integrate Microsoft’s industry-leading products for protecting users, endpoints, cloud apps, and data, we merge signals from numerous security solutions such as Microsoft Defender for Endpoint Microsoft Defender for Identity, Microsoft Defender for Email, Microsoft Defender for Identity, and Microsoft Defender for Cloud Apps and apply deep correlation logic to provide holistic prevention, detection, investigation, and response capabilities for all assets protected by Microsoft and empower defenders to move from reacting to employing their unique expertise to keep bad actors out.We use state of the art cloud technologies and big data solutions at hyper scale and modern UX platform to deliver the highest value for our customers.ResponsibilitiesAs a Software Engineer in M365D, you will be working on cutting edge technologies to deliver exciting new features that impacts millions of users. You will lead features with cross team collaboration. As a Full Stack engineer, you will contribute both to the Front end and Back end of our products and have end-to-end responsibility over your deliverables.performance of products while also driving consistency in monitoring and operations at scale.Qualifications B.Sc./M.Sc. In Computer Science (or equivalent) You have 5+ years of software development experience. You have strong experience in modern JavaScript frameworks such as Angular or React Experience in .NET/C# (or equivalent) Great people skills, leadership and collaborationPreferred Qualifications Experience in public cloud and Big Data technologies Experience in the Cyber security domain#ILDC-MPS#MSFTSECURITYMicrosoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work.
Show more
Show less",Entry level,"=HYPERLINK(""https://tinyurl.com/2m6q7jnb"", ""https://tinyurl.com/2m6q7jnb"")"
15,2 weeks ago ,HUMAN ,Full Stack Developer - Account Defender," Tel Aviv-Yafo, Tel Aviv District, Israel","HUMAN was founded in 2012 in a Brooklyn sci-fi bookstore by Tamer Hassan, Michael Tiffany, Dan Kaminsky, and Ash Kalb. Our humble beginnings led to the creation of the Human Defense Platform, the backbone of all our products that safeguards enterprises from sophisticated bot attacks, fraud, and account abuse. Today we verify the humanity of more than 20 trillion interactions per week for some of the largest companies and internet platforms.Our hacker roots still permeate everything we do. You will be a part of the HUMAN front line in our commitment to helping protect companies (and in turn, their customers) from both revenue and reputation risk caused by malicious bots. However, HUMAN is not the center of this story. Humans like yourself are. We firmly believe in putting people first. This approach spans our extensive total rewards package, inclusive of competitive compensation, benefits, stipends - as well as our day-to-day culture - to ensure every human is empowered to do the best work of their life. We want to hear about the marathon you’re training for. We want to see pictures of your pets. We want to know your favorite robot (we have many).The HUMAN R&D team is pivotal to our mission. They are the ones uncovering and fighting bot operations like PARETO, ICEBUCKET, 3ve, and Methbot. HUMAN supports our R&D humans by strongly valuing deep work and flexibility. HUMAN is fully committed to flexible working arrangements to ensure our humans are able to do the best work of their lives.We want to work with people like you who break down problems to build up better solutions. That’s what makes us HUMAN.You’ll be joining us at an exciting moment in the HUMAN story: we joined forces with PerimeterX in a market-changing merger , as well as recently acquired clean.io to enhance the Human Defense Platform. Together under the HUMAN brand, we will disrupt the economics of cybercrime. We hope you can join us in that mission.Join HUMAN and help protect the internet from cybercriminals! HUMAN has just launched its Account Defender product and is looking for a talented and eager Full Stack Engineer to join the adventure, who really loves solving high-scalability challenges using cutting-edge technologies. HUMAN Account Defender prevents fraudsters from attacking our customers’ users, and also from creating fake accounts in their systems. You'll be working on the product’s console, building beautiful and user friendly screens, in use by our customers to manage our systems which are handling billions of requests daily and analyzing data to prevent real-time web attacks. You will also work closely with other departments - UX, product, engineers, research, etc.- and lead features from scratch to production.What you'll do:Join the fresh and exciting new HUMAN’s product in its early stage, as one of its first engineers. Be a main figure in a core, flat team (engineers, product, researchers, data scientists).Own and lead very cool and exciting client side features and screens from scratch to production, with a great end-user experience and importancy for the details.Work and develop deep pure javascript elements within our product detection components.Work closely with other fullstack engineers from HUMAN guild, engineers, researchers, product managers, DevOps, and other team members within the company.Write and use the most cutting-edge technologies for code, databases, CI/CD, and data pipelines - Javascript, React, React-QueryNode.js , SQL and NoSql, MongoDB, Redis, Kafka, Elastic, GCP, BigQuery, and more!Special bonus for the ones who got until now: a quick demo of our product, so you’ll know what you will work about soon: https://www.humansecurity.com/products/account-defender  Who you are: B.Sc . in Computer Science or equivalent.3+ years of experience as a fullstack developer, with a strong understanding of frontend and backend technologies.Proficiency in JavaScript, including modern language features and design patterns, and willness to work on the very deep elements of JS and browser.Experience with React, including React-Query and other common libraries and tools.Experience with Node.js , including Express and other common libraries and tools.Experience with SQL and NoSQL databases - an advantage.Experience with building RESTful APIs - an advantage.Ability to take responsibility and work independently ""Can do"" attitude with strong interpersonal and communication skills.Life at HUMAN:HUMAN prides itself on being an equal opportunity workplace. We firmly believe in putting people first regardless of who you are, where you come from, how you identify, or who your favorite robot is (we have many). We are on a mission to protect the integrity of the internet for everyone, so we welcome all individuals to come to share their unique experiences and perspectives as we fight against cybercrime together!With Humans located in all parts of the world, we’ve fully embraced our diversity of thought and are always looking for innovative ways to connect with one another - even in virtual reality! Although New York City is our HQ, with teams in London, Virginia, and Victoria, we trust our Humans in choosing where they work and how they work. The benefits package we provide reflects our remote-first culture and our commitment to our Humans’ personal career development, which includes annual stipends for home office setup, wellbeing, and learning & development. We also offer flexible time off, no-meeting Fridays, HUMAN days, sabbatical programs, and so much more.We’re constantly trying to anticipate the needs of our Humans to ensure each one of us is equally prepared to do some of the best work of our life. Taking care of one another is part of the HUMAN experience and how we build true HUMAN connections.If you are an individual with a disability or special need that requires accommodation, please contact us directly.
Show more
Show less",Entry level,"=HYPERLINK(""https://tinyurl.com/2hxae9jd"", ""https://tinyurl.com/2hxae9jd"")"
16,3 days ago ,Dropit Shopping ,React Native Developer," Tel Aviv-Yafo, Tel Aviv District, Israel","Who we areDropit is a SaaS multichannel digital platform with solutions for shopping centers, retailers, and consumers. Founded in 2016 with the launch of Handsfree Shopping in London's West End, we are present in over 500 stores across more than 350 brands throughout the US, Canada, UK, Ireland, and Belgium. For brands and shopping centers, our omnichannel fulfillment Platform and industry-first Marketplace unifies retail in-store and online.Our vision is to enable the entire retail ecosystem to work together and meet the needs of the shared consumer in a way that's collaborative and sustainable.What we're looking forWe're looking for a passionate, hardworking, and super nice developer to join our growing team. This is an excellent opportunity to learn and develop with a fast growing, dynamic and fun loving company.About The PositionWe are looking for an outstanding mobile engineer to be responsible for the coding, innovative design and infrastructure of our apps. You will help building our products from concept all the way to completion from the bottom up, fashioning everything End-to-EndYou should be able to write clean code and ensure your programs runs properly. We also expect you to be passionate about building software and perform well working in a team, along with developers, engineers and web designersYour Responsibilities AreProduce well designed, testable, efficient code by using best software development practicesUtilize data from various back-end services and databasesMaintain, expand, and scale our apps as assignedKeep up-to-date with emerging technologies and industry trends and apply them into operations and activitiesWork together with the product and design to match visual design intentResearch and experiment with new technologies, architectures, and standards.Your requirements are: 3+ years working as a React Native Developer.Significant experience in developing mobile applications for Android/iOSExperience with UI testing frameworks and CI pipelinesStrong problem solving skills with a creative approachStrong organizational skills with a good ability to prioritize tasksGood ability to learn rapidly and master diverse technologies and techniques.Bonus points: Backend fundamentalsExperience with Expo
Show more
Show less",Entry level,"=HYPERLINK(""https://tinyurl.com/2n7qspy4"", ""https://tinyurl.com/2n7qspy4"")"
17,1 month ago ,"CB4, a Gap Inc. Company ",Mobile Developer - React Native," Herzliya, Tel Aviv District, Israel",":5+ years professional software development experience3+ Experience in React and Redux front end developmentExperience with React Native and/or mobile development (Android/iOS)Strong JavaScript skills, TypeScriptExperience and knowledge in web technologies, such as HTML5, CSS3Experience designing and developing client-side applicationsExperience in Unit testing using Karma, Jasmin, Jest or similar frameworksFamiliarity with continuous integration and deployment - advantageBSc. in Computer Science or equivalent - mustCB4 is committed to creating a diverse and inclusive environment across our offices and teams.We consider all qualified applicants without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status.
Show more
Show less",Entry level,"=HYPERLINK(""https://tinyurl.com/2hh66dtq"", ""https://tinyurl.com/2hh66dtq"")"
18,1 month ago ,ONE Digital ,Angular Developer 5+ Years," Petah Tikva, Center District, Israel","One Digital is a software development company working on a range of projects from cyber security to medical devices using the best software stacks around. If you like building great products, working on projects from scratch, you don't mind switching context almost daily and like to work in a fast paced environment then Spectory is the ideal work place for you.We're looking for full-stack developers to join our team, we're not too picky about specific stack experience, we value great programming and interpersonal skills above mileage with a specific stack. If you're independent, enthusiastic, likes learning new things and creating things, we'd like to meet you!We offer competitive compensation and technical challenge.ResponsibilitiesAs a software engineer you will work on a big project critical for our customers' needs. You'll be able to use lots of new technologies and bring value to innovative products. Develop new features with Angular, nd NodeJs using best practices, considering security and performance.Required Skills5+ years experience as a Angular DeveloperStrong .Net and SQL skillsExperience with a frontend framework such as AngularExperience with Java script and Type script is a big Advantage.Hands-on experience in implementing pixel-perfect designs over HTML/CSSExperience with distributed version control systems (Git, etc.)Upper-Intermediate English skillsExperience with Node.JSExperience with AWSGood interpersonal skillsTeam Player.
Show more
Show less",Entry level,"=HYPERLINK(""https://tinyurl.com/2qozzfcy"", ""https://tinyurl.com/2qozzfcy"")"
19,2 weeks ago ,Claroty ,Frontend Software Engineer, Israel,"7+ years of experience building web-based frontend solutions for client-facing productsReact experience- mustPython experience - advantageHands-on, independent, fast learner and self-reliant with the ability to take on new technologiesHigh energy work ethic, team player with the ability to work in a dynamic startup environment, creative, out-of-the-box thinker who can accomplish great thingsAdvantage: experience building and packaging SPAs for productionAdvantage: experience with electron or other JS desktop applicationsAt Claroty, we are looking to hire individuals who embody our core values: People First, Customer Obsession, Strive for Excellence, and Integrity.Claroty is an equal opportunity employer and is committed to fostering a diverse and inclusive work environment for all. We encourage applications from candidates of ALL diverse backgrounds, and special accommodations are available upon request in all phases of the hiring process.
Show more
Show less",Entry level,"=HYPERLINK(""https://tinyurl.com/2ecekhmf"", ""https://tinyurl.com/2ecekhmf"")"
20,2 weeks ago ,OpenWeb ,Frontend Engineer (Social)," Tel Aviv-Yafo, Tel Aviv District, Israel","We create a safe space for communities to thrive.OpenWeb's mission is to improve the quality of conversations online, building a healthier web where content creators of all kinds are empowered to thrive. As a product company, OpenWeb partners with publishers and brands to build strong, direct relationships with their audiences.OpenWeb's technology empowers its partners to build vibrant communities rooted in healthy conversations and robust social experiences. OpenWeb works with more than 1,000 top-tier publishers, hosting more than 100 million active users each month.Founded in 2015, OpenWeb has nearly 300 employees in New York City, Tel Aviv, Kyiv, San Diego, Canada, London, and Paris and is backed by world-class investors, including Georgian, Insight Partners, Entrée Capital, The New York Times, Samsung Next, Dentsu, and ScaleUp. To date, the company has raised $393 million in funding and is currently valued at $1.5 billion.To learn more about OpenWeb's platform, visit OpenWeb.com, or follow @OpenWebHQ on LinkedIn and Twitter.What You'll Do:Your Mission is to be part of the software development initiatives to drive the OpenWeb Product vision. Take charge. Maintain, develop and create the frontend advertisement unit to build the monetization network product capabilities needed to evolve OpenWeb's business model to achieve success. Teamwork. You will be joining a cross-functional team that embraces an Agile/DevOps culture with an emphasis on ownership, accountability, automation, continuous integration and continuous delivery. Fast-paced. You will be supporting the design and development of fast and resilient web applications, along with the refactoring of legacy applications. Quality. You will be responsible for writing high-quality, defect-free, secure, extensible, and reusable code, and ensuring that code is protected and tested through rigorous automated testing practices. You will report to the Squad Engineering Manager. What You'll Bring:4+ years experience in developing frontend web applications at Saas-related companiesJavascript, Node.js, React.js, WebPack, HTML, and CSS, and Redux Advantage: NoSQL databases- Redis, MySQL, and MongoDB. 4+ years using concepts like asynchronous programming, closures, types, and ES6Strong experience with browser API's and optimizing frontend performanceExperience with Continuous Delivery and Continuous Integration techniquesExperience with test-driven development and automated testing practicesAdtech knowledgeWeb based 3rd party applicationsThe OpenWeb CultureWe offer a dynamic and unconventional work environment that spans from NYC to London, France, Kyiv, and Tel Aviv, bringing together a diverse group of world-class and high-caliber techies, wordsmiths, entrepreneurs, and creative thinkers. We empower every individual across our global team to be a catalyst for change and strive to create a work environment where you can have the utmost autonomy over your role and projects from start to finish. If you want to join an innovative tech company where you can challenge yourself, have the freedom to own your work, and make a lasting impact, then you have a spot within our growing community!OpenWeb is committed to building diverse teams and upholding an equal employment workplace that is free from discrimination. We hire amazing individuals regardless of their race, color, ancestry, religion, sex, gender identity, national origin, sexual orientation, age, citizenship, marital status, pregnancy, medical conditions, genetic information, disability, or Veteran status.Build your skills with us as you build a better web for everyone. Join us!Also, we care about your privacy! Please take a moment to review OpenWeb's Privacy Practices
Show more
Show less",Entry level,"=HYPERLINK(""https://tinyurl.com/2h7ovn84"", ""https://tinyurl.com/2h7ovn84"")"
21,1 month ago ,ONE Digital ,Full Stack - React Native/Node.js Developer," Netanya, Center District, Israel","One Digital is a software development company working on a range of projects from cyber security to medical devices using the best software stacks around. If you like building great products, working on projects from scratch, you don't mind switching context almost daily and like to work in a fast-paced environment then Spectory is the ideal work place for you.We're looking for a strong Experienced React/Django Full Stack DeveloperIf you're independent, enthusiastic, likes learning new things and creating things, we'd like to meet you!We offer competitive compensation and technical challenge.Responsibilities and background required:The Full Stack Developer will join developing team and build a multi-interface mobile/web application.As a Full Stack developer, you will work on a big project critical for our customers' needs. You'll be able to use lots of new technologies and bring value to innovative products. Develop new features with Node.js, Django, and React Navie using best practices, considering security and performance.Required SkillsAt least 2+ years of experience in Full Stack Development Node.js/React Native – MustExperience with Django - Big AdvantageExperience working with GraphQL. Experience working with relational database, such as PostgreSQL/ Sql Server. Experience in Cloud environment : Azure / Heroku. Team Player. Fast Learner.
Show more
Show less",Entry level,"=HYPERLINK(""https://tinyurl.com/2ehjcoj9"", ""https://tinyurl.com/2ehjcoj9"")"
22,3 weeks ago ,OpenWeb ,Frontend Engineer," Tel Aviv-Yafo, Tel Aviv District, Israel","We create a safe space for communities to thrive.OpenWeb's mission is to improve the quality of conversations online, building a healthier web where content creators of all kinds are empowered to thrive. As a product company, OpenWeb partners with publishers and brands to build strong, direct relationships with their audiences.OpenWeb's technology empowers its partners to build vibrant communities rooted in healthy conversations and robust social experiences. OpenWeb works with more than 1,000 top-tier publishers, hosting more than 100 million active users each month.Founded in 2015, OpenWeb has nearly 300 employees in New York City, Tel Aviv, Kyiv, San Diego, Canada, London, and Paris and is backed by world-class investors, including Georgian, Insight Partners, Entrée Capital, The New York Times, Samsung Next, Dentsu, and ScaleUp. To date, the company has raised $393 million in funding and is currently valued at $1.5 billion.To learn more about OpenWeb's platform, visit OpenWeb.com, or follow @OpenWebHQ on LinkedIn and Twitter.What You'll Do:Work with a small team of experienced and highly talented developers in a CI/CD environment with cutting edge technologies. Evolve our architecture and engineering to support the ever growing scale of users, features and data. Closely impact the company products architecture and craftsmanship. Work closely with Product and Design, taking full responsibility and ownership from conception to post-deployment in a fast-paced, collaborative environment. Our Stack - Go, Python, React.JS, Redux, Ruby on Rails, AWS, Elastic Search, Redis, MySQL, PostgresWhat You'll Bring:+4 Years of experience in React and ReduxStrong proven technical skills and a passion for developing products that people love and use everyday. Previous experience building a high scale, cloud based, web application from scratch. Understanding of product and a passion for building software that provides a great experience. Track record of excellence. Team player, strong communication skills, and empathetic. Focus on quality and simplicity. The OpenWeb CultureWe offer a dynamic and unconventional work environment that spans from NYC to London, France, Kyiv, and Tel Aviv, bringing together a diverse group of world-class and high-caliber techies, wordsmiths, entrepreneurs, and creative thinkers. We empower every individual across our global team to be a catalyst for change and strive to create a work environment where you can have the utmost autonomy over your role and projects from start to finish. If you want to join an innovative tech company where you can challenge yourself, have the freedom to own your work, and make a lasting impact, then you have a spot within our growing community!OpenWeb is committed to building diverse teams and upholding an equal employment workplace that is free from discrimination. We hire amazing individuals regardless of their race, color, ancestry, religion, sex, gender identity, national origin, sexual orientation, age, citizenship, marital status, pregnancy, medical conditions, genetic information, disability, or Veteran status.Build your skills with us as you build a better web for everyone. Join us!Also, we care about your privacy! Please take a moment to review OpenWeb's Privacy Practices
Show more
Show less",Entry level,"=HYPERLINK(""https://tinyurl.com/2nc3b8pw"", ""https://tinyurl.com/2nc3b8pw"")"
23,1 week ago ,Cybereason ,Frontend Developer," Tel Aviv-Yafo, Tel Aviv District, Israel","Who We AreCybereason is the champion of today’s cyber defenders, providing operation-centric attack protection. Our Defence Platform moves beyond endless alerting to instead recognize, expose, and end malicious operations before they take hold. Cybereason is an international company that defends the world's top brands in over 50 countries.Nice to knowOur Israeli site is located in Tel Aviv at Alon 1 tower, next to Hashalom train stationHybrid work modelFlexible working hours“Best high tech companies to work for” (by Dun’s100)“Top companies leading women representation” (by Power in Diversity)You’ll be part of our Security Platform groupThe Security Platform division is focused on building the detection, investigation, security and management platforms as the backbone for Cybereason products. Utilizing cutting edge technology for big data, stream processing and graph analysis we build scalable multi tenant solutions based on cloud native services.We are looking for highly motivated Front End Software Engineers to take part in building cutting edge next generation multi-tenant SaaS management platform.In this position you willBecome a valued member of an autonomous, cross-functional agile team.Design and develop multi-tenant front end services with a focus on low latency, scalability and user experience for a SaaS product.Collaborate closely with other engineers, product owners and designers, to identify and solve challenging problems in cybersecurity.Work with experienced and highly talented engineers in a CI/CD environment with cutting edge technologies.Take full responsibility and ownership from conception, development, quality to post-deployment.Work in an environment that supports your individual growth.We are looking forMust have-B.Sc. Computer Science/Engineering or equivalent knowledgeAt least 3 years of experience in front end web developmentExperience with React UX orientation Ability to lead E2E from requirements, to productionAbility to work closely with Product & UX managersTeam player, accountable, dedicated and passionateTeam player, accountable, dedicated and passionateAbility to work independently Self-learner Nice to have-Experience as Fullstack engineer Experience working in containerized environment with KubernetesExperience in relational databases (Postgres advantage) and NoSQL databases (Mongo Advantage)Experience with cloud technologies (GCP/AWS/Azure)More About CybereasonOur culture and how we operate reflects in our shared values. Our #Defenders are individuals with diverse skill sets and backgrounds who are driven to innovate and scale with our growing organization. We are a team that strives to learn from each other, solve challenging problems, and work collaboratively toward our goal of reversing the adversary advantage.Core ValuesWin As One: The power of an individual is less than the power of a team.Ever Evolving: Change keeps us at the forefront, so we encourage it.Daring: To achieve the impossible, we must dare to be different.Obsessed with Customers: We believe gaining our customers’ trust is the most important part of what we do.Never Give Up: We are tenacious and resilient, and we never stop.UbU: We believe people can only unlock their full potential when they work somewhere that accepts who they are.If these values resonate with you and our vision excites you, join us today and help us end cyber attacks from the endpoint to everywhere! #DefendersDon’t meet every single requirement? Studies have shown that women and people of color are less likely to apply to jobs unless they meet every single qualification. At Cybereason we are dedicated to building a diverse, inclusive, and authentic workplace (#uBu), so if you’re excited about this role but your past experience doesn’t align perfectly with every qualification in the job description, we encourage you to apply anyways. You may be just the right candidate for this or other roles.
Show more
Show less",Entry level,"=HYPERLINK(""https://tinyurl.com/2hbrbpvo"", ""https://tinyurl.com/2hbrbpvo"")"
24,3 days ago ,Dropit Shopping ,Backend Developer," Tel Aviv-Yafo, Tel Aviv District, Israel","BA/BSc degree in Computer Science, Software Engineering or equivalent experience3+ years of software development experience in two or more languages: Java, Python, Kotlin, JS (server)Ability to quickly learn new technologies and adapt to changing prioritiesYou're familiar with: version control (git), REST APIs, SQL, and continuous delivery.Comfortable working in an agile environment, and challenging yourself and your team to improve their ways of workingExperience with Micro Services architecture, Event Sourcing and modern frameworksTechnical hands-on experience with AWS/GCP, Docker, Kubernetes - advantage
Show more
Show less",Entry level,"=HYPERLINK(""https://tinyurl.com/2mkscaca"", ""https://tinyurl.com/2mkscaca"")"
25,3 weeks ago ,OpenWeb ,Python Backend Engineer," Tel Aviv-Yafo, Tel Aviv District, Israel","We create a safe space for communities to thrive.OpenWeb's mission is to improve the quality of conversations online, building a healthier web where content creators of all kinds are empowered to thrive. As a product company, OpenWeb partners with publishers and brands to build strong, direct relationships with their audiences.OpenWeb's technology empowers its partners to build vibrant communities rooted in healthy conversations and robust social experiences. OpenWeb works with more than 1,000 top-tier publishers, hosting more than 100 million active users each month.Founded in 2015, OpenWeb has nearly 300 employees in New York City, Tel Aviv, Kyiv, San Diego, Canada, London, and Paris and is backed by world-class investors, including Georgian, Insight Partners, Entrée Capital, The New York Times, Samsung Next, Dentsu, and ScaleUp. To date, the company has raised $393 million in funding and is currently valued at $1.5 billion.To learn more about OpenWeb's platform, visit OpenWeb.com, or follow @OpenWebHQ on LinkedIn and Twitter.What You'll Do:Work with a small team of experienced and highly talented developers in a CI/CD environment with cutting-edge technologies. Evolve our architecture and engineering to support the ever-growing scale of users, features and data. Closely impact the company products architecture and craftsmanship. Work closely with Product and Design, taking full responsibility and ownership from conception to post-deployment in a fast-paced, collaborative environment. Our Stack - Go, Python, React.JS, Redux, Ruby on Rails, AWS, Elastic Search, Redis, MySQL, PostgresWhat You'll Bring:+4 Years of experience in Python 3.x and Django frameworkStrong proven technical skills and a passion for developing products that people love and use every day. Previous experience building a high-scale, cloud-based, web application from scratch. Understanding of products and a passion for building software that provides a great experience. Track record of excellence. Team player, strong communication skills, and empathetic. Focus on quality and simplicity. The OpenWeb CultureWe offer a dynamic and unconventional work environment that spans from NYC to London, France, Kyiv, and Tel Aviv, bringing together a diverse group of world-class and high-caliber techies, wordsmiths, entrepreneurs, and creative thinkers. We empower every individual across our global team to be a catalyst for change and strive to create a work environment where you can have the utmost autonomy over your role and projects from start to finish. If you want to join an innovative tech company where you can challenge yourself, have the freedom to own your work, and make a lasting impact, then you have a spot within our growing community!OpenWeb is committed to building diverse teams and upholding an equal employment workplace that is free from discrimination. We hire amazing individuals regardless of their race, color, ancestry, religion, sex, gender identity, national origin, sexual orientation, age, citizenship, marital status, pregnancy, medical conditions, genetic information, disability, or Veteran status.Build your skills with us as you build a better web for everyone. Join us!Also, we care about your privacy! Please take a moment to review OpenWeb's Privacy Practices
Show more
Show less",Entry level,"=HYPERLINK(""https://tinyurl.com/2oqt28xp"", ""https://tinyurl.com/2oqt28xp"")"
